Species,Time,Treatment,kiaa0586,actr6,asb5,sp7,capn1,gnmt,cdc20,ptch1,notch1a,opg,rankl,rankl_opg,,,
MG,2wk,Benthic,0.00018167,0.039729534,0.000950403,0.001777087,0.062165276,0.071369634,0.000254779,0.033209898,0.037623424,0.002556423,0.035530403,,,,
MG,2wk,Benthic,0.000462439,0.044201223,0.000850584,0.001801653,0.066611722,0.067351167,0.000222279,0.037682922,0.017499324,0.002544586,0.035938585,,,,
MG,2wk,Benthic,0.00049727,0.044070541,0.000924313,0.001860066,0.0585171,0.06968619,0.00028136,0.038098764,0.029275243,0.002215323,0.033818452,,,,
MG,2wk,Benthic,5.25E-05,0.042422264,0.030261417,0.002074817,0.073320377,0.081988798,0.000042536,0.040130366,0.035657448,0.002210927,0.043546387,,,,
MG,2wk,Benthic,8.22E-05,0.053043041,0.02867001,0.002097854,0.070288452,0.092838995,2.27E-05,0.051877656,0.03802489,0.002045369,0.045474284,,,,
MG,2wk,Benthic,0.000129613,0.054551331,0.026779235,0.002142393,0.102279329,0.098811607,1.31E-05,0.028363608,0.057019393,0.001943089,0.043744673,,,,
MG,2wk,Benthic,8.09E-05,0.121343358,0.12113165,0.001240594,0.121113761,0.164279485,0.000238073,0.065029503,0.032390097,0.001830335,0.072218862,,,,
MG,2wk,Benthic,7.31E-05,0.120826306,0.128396869,0.001030532,0.11801169,0.185866158,0.000287993,0.087277657,0.051144986,0.001980037,0.083703665,,,,
MG,2wk,Benthic,5.78E-05,0.127876259,0.123262741,0.001070774,0.127207367,0.148728771,0.000149468,0.100600756,,,0.077649506,,,,
MG,2wk,Pelagic,0.000163939,0.008861697,0.009883819,0.000874421,0.027929323,0.029582989,0.000125125,0.007485243,0.001032692,0.001298032,0.01062497,8.166625723,,,
MG,2wk,Pelagic,0.000220145,0.010433431,0.012193567,0.000890553,0.027533921,0.03153534,0.000102786,0.006410384,0.000877657,0.001399152,0.011361484,23.85936418,,,
MG,2wk,Pelagic,0.000184253,0.008489032,0.006380435,0.000895809,0.023109066,0.030972522,8.58E-05,0.007138881,0.003934924,0.001226775,0.010052395,5.766332036,,,
MG,2wk,Pelagic,0.000159475,0.012736947,0.007159773,0.000979125,0.01434492,0.045488195,4.24E-05,0.010770746,0.003529685,0.000615047,0.011891564,5.084010469,,,
MG,2wk,Pelagic,0.000144085,0.01267011,0.007748956,0.000998093,0.014075004,0.049302184,3.90E-05,0.012117738,0.001687203,0.00057064,0.01206469,6.554438863,,,
MG,2wk,Pelagic,0.000134624,0.012809528,0.005854956,0.000973293,0.012817792,0.054743411,0.000207081,0.012471267,0.001225164,0.000294558,0.009161144,18.75647629,,,
MG,2wk,Pelagic,4.61E-05,0.008380341,0.004316128,0.001007417,0.016312058,0.030893932,0.000243525,0.008117164,0.001550262,0.001262353,0.007075858,,,,
MG,2wk,Pelagic,4.20E-05,0.008343143,0.004841184,0.000925764,0.017079719,0.031730025,0.00011575,0.008962265,0.001174245,0.001244458,0.007333353,,,,
MG,2wk,Pelagic,4.93E-05,0.00857794,0.003401088,0.001027813,0.01299632,0.035556287,4.51E-05,0.009119283,0.000628377,0.001235408,0.007166467,,,,
MG,2wk,Pelagic,5.75E-05,0.006050612,0.003805698,0.000798126,0.004917718,0.02325076,6.92E-05,0.007972524,0.001866253,0.000949492,0.004735651,,,,
MG,2wk,Pelagic,4.60E-05,0.006687652,0.003579609,0.000826335,0.006387465,0.031400087,3.43E-06,0.009707843,0.002209806,0.000976118,0.005241153,,,,
MG,2wk,Pelagic,7.02E-05,0.007030734,0.002254389,0.000927112,0.004559397,0.036083207,4.11E-06,0.008791454,0.0010204,0.001009284,0.00494053,,,,
MG,2wk,Pelagic,3.72E-05,0.014696124,0.000208651,0.001572927,0.026669325,0.060356978,,0.017404251,0.032557016,0.002150863,0.01390916,,,,
MG,2wk,Pelagic,4.07E-05,0.014408649,0.000234356,0.00126163,0.027523992,0.069336591,,0.018418809,0.037211476,0.002140919,0.014352694,,,,
MG,2wk,Pelagic,7.82E-05,0.014887539,0.000168484,0.001289351,0.022140238,0.146304336,,0.066478825,0.014698178,0.002029896,0.013179199,,,,
MG,2wk,Pelagic,1.50E-05,0.07708132,0.073703713,0.001256134,0.073654336,0.207977774,,0.07286613,,0.002788672,0.058688639,,,,
MG,2wk,Pelagic,1.00E-04,0.077732322,0.069507045,0.001047118,0.051144905,0.218875689,,0.068961954,,0.002907045,0.0541567,,,,
MG,2wk,Pelagic,5.72E-05,0.077793258,0.045018382,0.001445897,0.062972466,,,,,0.003262344,0.054137254,,,,
MG,4wk,Benthic,9.93E-06,0.000722065,0.000803048,0.000691133,2.58E-05,0.00098408,1.83E-05,0.000756994,0.001069402,0.000286257,0.000167135,0.557296373,,,
MG,4wk,Benthic,1.04E-05,0.000805513,0.000887527,0.00069306,3.71E-05,0.001144795,1.89E-05,0.000799757,0.000997973,0.000280027,0.00015032,0.616114299,,,
MG,4wk,Benthic,1.33E-05,0.000737743,0.000782907,0.000692433,3.76E-05,0.001463375,1.08E-05,0.000816482,0.001092137,0.000270963,0.00014936,0.79437491,,,
MG,4wk,Benthic,1.73E-05,0.000616367,2.78E-05,0.000351497,7.31E-06,0.002827464,2.73E-05,0.003345125,0.003591834,0.000489703,0.000323866,0.353464271,,,
MG,4wk,Benthic,3.18E-05,0.003238585,2.33E-05,0.000397834,2.96E-06,0.004081346,1.15E-05,0.004166054,0.001251145,0.000597417,0.00041696,0.436378357,,,
MG,4wk,Benthic,4.51E-05,0.002116104,0.00019487,0.000912359,2.47E-06,0.004345291,1.19E-05,0.003764355,0.001894522,0.000910726,0.000445392,0.369957861,,,
MG,4wk,Benthic,7.34E-06,0.000944795,0.000743066,0.000298766,9.79E-05,0.001741697,2.00E-05,0.000924105,0.000383717,0.000327973,0.000255532,,,,
MG,4wk,Benthic,1.20E-05,0.001070024,0.000751779,0.00038122,0.000104429,0.001681734,2.72E-05,0.000972697,0.000217807,0.000340048,0.000273902,,,,
MG,4wk,Benthic,1.07E-05,0.0011147,0.000548198,0.000386909,9.01E-05,0.001561609,0.000015237,0.00103606,0.00038395,0.000337384,0.000269407,,,,
MG,4wk,Benthic,1.85E-05,0.001150238,0.000582392,0.000386192,5.06E-05,0.001866865,5.62E-06,0.000989475,0.000737681,0.000513721,0.000189583,,,,
MG,4wk,Benthic,1.57E-05,0.000991163,0.000696283,0.000396565,5.02E-05,0.002318084,5.79E-06,0.001029302,0.000574899,0.000510226,0.000182145,,,,
MG,4wk,Benthic,1.01E-05,0.001083452,0.00061187,0.000386732,4.52E-05,0.002293501,3.39E-06,0.000974311,0.000728699,0.000527874,0.000176502,,,,
MG,4wk,Benthic,7.29E-06,0.000494154,0.000134953,0.000200437,2.56E-06,0.002320489,4.04E-05,0.000528354,0.000160291,0.000366421,0.000122482,,,,
MG,4wk,Benthic,9.82E-06,0.000551678,0.000430575,0.000218282,5.04E-06,0.002262303,2.89E-05,0.000560832,0.000125578,0.000191549,0.00012264,,,,
MG,4wk,Benthic,6.57E-06,0.00053954,0.000354568,0.000187581,9.44E-07,0.002360419,3.61E-05,0.000642363,0.000131073,0.000335241,0.000112178,,,,
MG,4wk,Benthic,1.09E-05,0.000409393,0.000803119,0.000249552,8.29E-06,0.001227601,8.27E-06,0.000350375,0.000382109,0.000336069,0.000111982,,,,
MG,4wk,Benthic,1.64E-05,0.000420023,0.000737592,0.000274831,5.01E-06,0.00112246,6.29E-06,0.000449414,0.000350845,0.000330659,0.000127855,,,,
MG,4wk,Benthic,9.88E-06,0.000434316,0.000735986,0.000239791,8.69E-06,0.001198642,4.16E-06,0.000452703,0.000159532,0.000350887,0.000136844,,,,
MG,4wk,Benthic,6.54E-06,0.000457279,0.000422273,0.000201426,2.52E-05,0.002139558,,,,,,,,,
MG,4wk,Benthic,1.22E-05,0.000444813,0.000447274,0.000161246,1.39E-05,0.001929909,,,,,,,,,
MG,4wk,Benthic,1.08E-05,0.000443102,0.000379224,0.000175255,1.60E-05,0.00238364,,,,,,,,,
MG,4wk,Pelagic,1.80E-05,0.000688665,0.000390501,0.001042415,0.000149004,0.001675644,1.48E-05,0.000559639,0.0004375,0.00033586,0.000115257,0.354249999,,,
MG,4wk,Pelagic,2.02E-05,0.000747373,0.00035476,0.001081905,0.000147917,0.001634535,1.82E-05,0.000564387,0.000388828,0.00037642,0.000162622,0.403176865,,,
MG,4wk,Pelagic,1.34E-05,0.000716685,0.000290239,0.001256659,0.00010771,0.001795351,8.25E-06,0.000527488,0.000412616,0.000390522,0.000112297,0.834307966,,,
MG,4wk,Pelagic,7.90E-06,0.000676583,0.000151994,0.000309667,1.25E-06,0.001066042,1.37E-05,0.000307651,0.000320207,0.000367445,0.000157875,0.739761087,,,
MG,4wk,Pelagic,8.61E-06,0.000695127,0.000111418,0.000402039,1.45E-06,0.001361967,7.86E-06,0.000360042,0.00028251,0.00041084,0.000158054,0.487538507,,,
MG,4wk,Pelagic,6.81E-06,0.000573867,6.08E-05,0.00030729,2.93E-06,0.0014035,4.70E-06,0.000347556,0.000191704,0.000395818,0.000156413,,,,
MG,4wk,Pelagic,9.82E-06,0.000719134,0.000649035,0.000431751,3.33E-06,0.002151695,4.49E-06,0.00037805,0.000257075,0.000235546,0.000203448,,,,
MG,4wk,Pelagic,1.00E-05,0.000522345,0.000473897,0.000444121,5.84E-06,0.00200062,6.06E-06,0.000317977,0.000351384,0.00025823,0.00022188,,,,
MG,4wk,Pelagic,9.51E-06,0.000666019,0.000278433,0.000489956,3.46E-06,0.002776374,2.86E-06,0.000405818,0.000351097,0.000264425,0.000206241,,,,
MG,4wk,Pelagic,6.04E-06,0.000393387,0.000104982,0.000271782,0.000125798,0.003734266,,0.000211179,0.000420227,0.000341097,0.000275372,,,,
MG,4wk,Pelagic,1.56E-06,0.000385149,8.75E-05,0.000296639,0.000119692,0.004209818,,0.000289765,0.000624321,0.000416015,0.000324984,,,,
MG,4wk,Pelagic,,0.000448957,5.82E-05,0.000321419,0.000101322,0.004275441,,0.000198477,0.000285194,0.000406255,0.000256261,,,,
MG,4wk,Pelagic,,0.000495946,0.001342544,0.000770038,0,0.008416098,,0.000513285,0.000202932,0.001938289,0.000752492,,,,
MG,4wk,Pelagic,,0.000854712,0.000722922,0.001137661,0,0.011919436,,0.000326405,0.000574633,0.001375103,0.000855203,,,,
MG,4wk,Pelagic,,0.000914812,0.000667747,0.00073301,0,0.013722052,,0.000155234,0.000302727,0.001469629,0.000664966,,,,
MG,8wk,Benthic,1.69E-05,0.002865858,0,1.11E-05,3.87E-05,0.000350459,0,0.012536939,0.000963775,0.002738992,0.000814745,0.313640399,,,
MG,8wk,Benthic,9.14E-05,0.002967411,0,8.02E-05,2.57E-05,0.00111616,0,0.014633615,0.001157693,0.002404555,0.000776213,0.147763875,,,
MG,8wk,Benthic,4.58E-05,0.00300246,0,0.000122942,2.00E-05,0.001131138,0,0.012580237,0.001999443,0.002533445,0.000812349,0.286610109,,,
MG,8wk,Benthic,3.19E-05,0.001635831,0,4.67E-05,1.70E-05,0.00248734,0,0.012650527,0.00034239,0.004288288,0.000701992,0.128958568,,,
MG,8wk,Benthic,4.66E-05,0.001670894,0,0.000100306,1.59E-05,0.00312696,0,0.012641041,0.000143997,0.0043173,0.000523172,0.148831313,,,
MG,8wk,Benthic,5.67E-05,0.001640812,0,0.000127368,5.33E-06,0.001020789,0,0.013716722,0.000148,0.004177435,0.000661754,0.210885901,,,
MG,8wk,Benthic,3.30E-05,0.002970557,0,8.98E-05,5.25E-06,0.000115114,0,0.004409443,0.001888326,0.003208302,0.00105291,,,,
MG,8wk,Benthic,3.03E-05,0.003117814,0,0.000102177,3.66E-06,0.000102428,0,0.005350564,0.001365742,0.003136766,0.001023766,,,,
MG,8wk,Benthic,5.50E-05,0.003135814,0,0.000120638,3.23E-06,2.70E-05,0,0.004586852,0.001088752,0.003312565,0.000679973,,,,
MG,8wk,Benthic,1.23E-05,0.002924487,0,2.86E-05,0.000173006,0.016915271,0,0.009548232,0.000705376,0.008901249,0.00158977,,,,
MG,8wk,Benthic,6.34E-05,0.003152866,0,0.000125216,0.000143403,0.016729503,0,0.009886533,0.000484681,0.010997054,0.001431337,,,,
MG,8wk,Benthic,4.24E-05,0.00248091,0,0.000187532,0.000146343,0.018723139,0,0.009775366,0.00010412,0.010581967,0.000826648,,,,
MG,8wk,Benthic,2.58E-05,0.002450825,0,8.44E-05,,0.001284301,0,0.004947746,0.00013526,0.007738778,0.001500315,,,,
MG,8wk,Benthic,5.97E-05,0.002418218,0,0.000144427,,0.002529351,0,0.004151333,0.000821889,0.008589432,0.001592535,,,,
MG,8wk,Benthic,3.04E-05,0.002451035,0,0.000202048,,0.001428921,0,0.01251848,0.000596832,0.008539163,0.000573984,,,,
MG,8wk,Benthic,3.55E-05,0.002135995,0,5.32E-05,,,0,0.006643906,,0.00360721,0.000693157,,,,
MG,8wk,Benthic,3.23E-05,0.002299682,0,0.000139536,,,0,0.006624851,,0.003890917,0.000893405,,,,
MG,8wk,Benthic,4.27E-05,0.002383226,0,0.000103627,,,,0.007119376,,0.004044012,,,,,
MG,8wk,Pelagic,9.65E-06,0.001162686,0,5.14E-05,4.59E-05,0.008182329,0,0.010702892,2.50E-05,0.00385802,0.000240511,0.061821655,,,
MG,8wk,Pelagic,2.77E-05,0.001276534,0,5.79E-05,6.55E-05,0.005334925,0,0.011304305,4.71E-06,0.003888913,0.000238401,0.107900586,,,
MG,8wk,Pelagic,3.70E-05,0.001329358,0,4.94E-05,4.98E-05,0.006601923,0,0.01015055,0.000156523,0.003716132,0.000231644,0.133707653,,,
MG,8wk,Pelagic,2.18E-05,0.001225057,0,0.000117795,2.36E-05,9.55E-06,0,0.004668577,6.13E-05,0.001665847,0.0001963,0.143494893,,,
MG,8wk,Pelagic,3.56E-05,0.001230155,0,0.000147794,1.92E-05,1.97E-05,0,0.001772899,0.000166201,0.00174312,0.000132087,0.076666353,,,
MG,8wk,Pelagic,4.04E-05,0.001293779,0,7.46E-05,1.72E-05,9.70E-06,0,0.001933888,5.13E-05,0.00183371,0.000220695,0.042098204,,,
MG,8wk,Pelagic,2.13E-05,0.00159168,0,0.000100428,3.39E-05,0.000993274,0,0.004333266,1.67E-05,0.001474385,0.000264135,,,,
MG,8wk,Pelagic,3.55E-05,0.001738735,0,0.000148126,1.66E-05,0.001683099,0,0.004356615,7.66E-06,0.001772478,0.000167209,,,,
MG,8wk,Pelagic,4.00E-05,0.00174653,0,1.41E-05,1.64E-05,0.001271045,0,0.004925706,2.68E-06,0.001632634,0.000552924,,,,
MG,8wk,Pelagic,1.44E-05,0.002052558,0,2.37E-05,2.50E-06,0.006223609,0,0.008101049,5.19E-06,0.003048699,0.000588427,,,,
MG,8wk,Pelagic,2.45E-05,0.00245879,0,4.06E-05,2.29E-06,0.005708529,0,0.009446287,0.000672094,0.003185464,0.00022973,,,,
MG,8wk,Pelagic,3.68E-05,0.002870808,0,3.13E-05,4.66E-06,0.005214674,0,0.009747149,0.000953944,0.003567347,0.000706937,,,,
MG,8wk,Pelagic,2.39E-05,0.000934122,0,4.46E-05,7.79E-05,,0,0.012316108,0.000129536,0.007125631,0.00070078,,,,
MG,8wk,Pelagic,2.10E-05,0.000764876,0,6.28E-05,2.42E-05,,0,0.013175197,0.000354623,0.007319686,0.000263479,,,,
MG,8wk,Pelagic,2.42E-05,0.001138436,0,1.54E-05,5.06E-05,,0,0.012893428,0.000251031,0.007517313,0.000292788,,,,
MG,8wk,Pelagic,1.45E-05,,0,2.95E-05,,,0,0.007142284,0.000497492,0.005651612,0.000339494,,,,
MG,8wk,Pelagic,1.23E-05,,0,2.87E-05,,,0,0.006691978,,0.006230584,0.000112158,,,,
MG,8wk,Pelagic,1.03E-05,,0,,,,0,0.007658644,,0.005607821,,,,,
TO,1wk,Benthic,0.0000842,0.001465978,0.001961884,0.0000211,0.0000248,0.005910775,4.16E-05,0.002282194,0.001782027,0.000927912,0.000193341,0.249595611,,,
TO,1wk,Benthic,0.0000851,0.001481077,0.002152085,0.000173443,0.0000299,0.006052972,5.34E-05,0.002915511,0.001492746,0.00051937,0.00018792,0.198683243,,,
TO,1wk,Benthic,0.0000997,0.001398806,0.002142371,0.000117938,0.0000326,0.005885153,8.32E-05,0.003249848,0.001729867,0.001022725,0.000182661,0.136329034,,,
TO,1wk,Benthic,0.0000599,0.001145486,0.002489561,0.000429331,0.000075,0.004768333,0.000100249,0.000876185,0.001303664,0.001101931,0.000206649,0.372778738,,,
TO,1wk,Benthic,0.0000441,0.001118958,0.002007262,0.001253972,0.0000983,0.004911604,0.000115104,0.001167001,0.00184401,0.001062388,0.000221495,0.168177968,,,
TO,1wk,Benthic,0.0000509,0.001118402,0.002093409,0.001284603,0.0000979,0.00532856,0.00014116,0.001706392,0.001753212,0.001105498,0.00022113,0.001556173,,,
TO,1wk,Benthic,0.0000503,0.001269209,0.002523174,0.000455615,0.0000863,0.007427767,3.62E-05,0.00073629,0.002002679,0.001397465,0.000190933,,,,
TO,1wk,Benthic,0.0000636,0.001164998,0.001983239,0.000593428,0.0000847,0.008589603,7.32E-05,0.000700884,0.001552703,0.001364884,0.000208146,,,,
TO,1wk,Benthic,0.0000603,0.00129987,0.001878047,0.000822507,0.0000702,0.007460345,8.15E-05,0.001683164,0.001336104,0.001463819,0.00017545,,,,
TO,1wk,Benthic,0.0000398,0.001251573,0.002178693,0.000867269,0.000196026,0.007925483,0.000127953,0.000816727,0.00355188,0.001121441,0.000420161,,,,
TO,1wk,Benthic,0.0000509,0.001161834,0.002310893,0.001256004,0.00018894,0.007507159,0.000156484,0.001166717,0.003578676,0.001091789,0.000419558,,,,
TO,1wk,Benthic,0.0000647,0.001118953,0.002266717,0.001216999,0.000223068,0.007625896,0.000173617,0.001168348,0.002765761,0.001156841,0.000415757,,,,
TO,1wk,Benthic,0.0000389,0.000781126,0.004638205,0.000792342,0.000081,0.010969851,0.000108072,0.000685051,0.002690239,0.002142422,0.000356197,,,,
TO,1wk,Benthic,0.0000441,0.000725186,0.005090084,0.002210806,0.0000804,0.010705749,6.09E-05,0.000807288,0.003232873,0.002123754,0.000353654,,,,
TO,1wk,Benthic,0.0000471,0.000828922,0.004377664,0.00186411,0.0000526,0.010268189,4.12E-05,0.000469786,,0.002065048,0.000354676,,,,
TO,1wk,Benthic,0.0000265,0.000769145,0.002015388,0.001667439,0.0000967,0.007612788,7.74E-05,0.024986321,,0.002252905,4.58E-06,,,,
TO,1wk,Benthic,0.0000457,0.000816586,0.002018514,0.001672732,0.000073,0.007721228,8.86E-05,0.010314248,,0.003775641,4.18E-06,,,,
TO,1wk,Benthic,0.0000612,0.000697607,0.001774919,0.001713073,0.000112758,0.006685344,9.53E-05,0.028629811,,0.003854618,5.89E-06,,,,
TO,1wk,Benthic,0.000044,0.002571838,,1.31E-05,2.02E-05,0.012425739,,,,,,,,,
TO,1wk,Benthic,0.0000339,0.002903504,,0.000010256,2.09E-05,0.015674309,,,,,,,,,
TO,1wk,Benthic,,0.002704944,,7.47E-06,,0.016874396,,,,,,,,,
